tipo_real,followers_count,following_count,tweet_count,listed_count,antiguedad_dias,has_description,len_description,has_location,has_url,verified,protected,id_seudonimizado,ratio_rep,Score_RF_Cuenta,degree,betweenness_centrality,cluster_comunidad,score_botometer,Score_Amenaza_OSINT,Clasificacion_Final,Escenario,origen_score_botometer,cohorte,origen_etiqueta
Social Bot Avanzado,1193,629,3791,8,835,1,95,1,1,0,0,User_04f40410,1.8936507936507936,0.0190812656805976,7,0.111111111111111,0,0.5,0.3523,Nodo Puente / Coordinador,Caso 2: Astroturfing Social Bots,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Social Bot Avanzado,1046,694,3296,12,824,1,95,1,1,0,0,User_9c1d3493,1.5050359712230217,0.0199400950177324,7,0.0185185185185185,0,0.5,0.3294,Comportamiento Orgánico / Humano,Caso 2: Astroturfing Social Bots,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Social Bot Avanzado,908,726,4421,5,457,1,95,1,1,0,0,User_25a6dafb,1.248968363136176,0.0275881354557966,7,0.0277777777777777,0,0.5,0.334,Comportamiento Orgánico / Humano,Caso 2: Astroturfing Social Bots,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,358,331,1480,2,1200,1,60,1,0,0,0,User_0be03358,1.0783132530120485,0.0432281457152867,1,0.0,0,0.5,0.1442,Comportamiento Orgánico / Humano,Caso 2: Astroturfing Social Bots,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,304,329,1062,2,1200,1,60,1,0,0,0,User_102d9ef1,0.9212121212121211,0.0514154852773597,0,0.0,1,0.5,0.1154,Comportamiento Orgánico / Humano,Caso 2: Astroturfing Social Bots,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Comunidad A,80,600,3000,0,50,1,30,0,0,0,0,User_fd931d9e,0.1331114808652246,0.1395231530183114,6,0.1794871794871795,0,0.5,0.4367,Nodo Puente / Coordinador,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Comunidad A,80,600,3000,0,50,1,30,0,0,0,0,User_dad6e5b7,0.1331114808652246,0.1395231530183114,5,0.0512820512820512,0,0.5,0.363,Perfil Sospechoso / Amplificador,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Comunidad A,80,600,3000,0,50,1,30,0,0,0,0,User_ca7025e9,0.1331114808652246,0.1395231530183114,5,0.0512820512820512,0,0.5,0.363,Perfil Sospechoso / Amplificador,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Comunidad A,80,600,3000,0,50,1,30,0,0,0,0,User_31ea5716,0.1331114808652246,0.1395231530183114,4,0.0,0,0.5,0.3085,Comportamiento Orgánico / Humano,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Comunidad A,80,600,3000,0,50,1,30,0,0,0,0,User_36160bd8,0.1331114808652246,0.1395231530183114,4,0.0,0,0.5,0.3085,Comportamiento Orgánico / Humano,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Comunidad B,90,700,3500,0,60,1,35,0,0,0,0,User_ba293bcc,0.1283880171184022,0.1356361528120465,5,0.0598290598290598,1,0.5,0.364,Perfil Sospechoso / Amplificador,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Comunidad B,90,700,3500,0,60,1,35,0,0,0,0,User_aba3021f,0.1283880171184022,0.1356361528120465,5,0.0598290598290598,1,0.5,0.364,Perfil Sospechoso / Amplificador,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Comunidad B,90,700,3500,0,60,1,35,0,0,0,0,User_1b2a747b,0.1283880171184022,0.1356361528120465,5,0.0598290598290598,1,0.5,0.364,Perfil Sospechoso / Amplificador,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Comunidad B,90,700,3500,0,60,1,35,0,0,0,0,User_0e7968bf,0.1283880171184022,0.1356361528120465,4,0.0,1,0.5,0.3074,Comportamiento Orgánico / Humano,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Comunidad B,90,700,3500,0,60,1,35,0,0,0,0,User_d7796ea2,0.1283880171184022,0.1356361528120465,4,0.0,1,0.5,0.3074,Comportamiento Orgánico / Humano,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Cabecilla Puente,1500,900,8000,10,600,1,110,1,1,0,0,User_02433ff8,1.664816870144284,0.0180279480577838,6,0.3846153846153846,1,0.5,0.4516,Nodo Puente / Coordinador,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,400,300,900,4,1500,1,70,1,0,0,0,User_41c1c38b,1.32890365448505,0.0433073592074685,1,0.0,0,0.5,0.1547,Comportamiento Orgánico / Humano,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,400,300,900,4,1500,1,70,1,0,0,0,User_ee800e11,1.32890365448505,0.0433073592074685,0,0.0,2,0.5,0.113,Comportamiento Orgánico / Humano,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,400,300,900,4,1500,1,70,1,0,0,0,User_28e40813,1.32890365448505,0.0433073592074685,0,0.0,3,0.5,0.113,Comportamiento Orgánico / Humano,Caso 3: Polarización Bipartita Puente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Zombi Durmiente,78,187,58,0,2721,0,0,0,0,0,0,User_bafe9010,0.4148936170212766,0.4962609923880382,4,0.0,0,0.5,0.4989,Perfil Sospechoso / Amplificador,Caso 4: Red Zombi Durmiente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Zombi Durmiente,86,163,97,0,2036,0,0,0,0,0,0,User_86f48589,0.524390243902439,0.5216403397148516,4,0.0,0,0.5,0.5065,Perfil Sospechoso / Amplificador,Caso 4: Red Zombi Durmiente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Zombi Durmiente,138,111,130,0,2842,0,0,0,0,0,0,User_adf2c408,1.2321428571428572,0.4818052834760773,4,0.0,0,0.5,0.4945,Perfil Sospechoso / Amplificador,Caso 4: Red Zombi Durmiente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Zombi Durmiente,130,164,186,0,1987,0,0,0,0,0,0,User_7a13d163,0.7878787878787878,0.4275060983792446,4,0.0,0,0.5,0.4783,Perfil Sospechoso / Amplificador,Caso 4: Red Zombi Durmiente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Zombi Durmiente,85,124,80,0,1885,0,0,0,0,0,0,User_4ba40017,0.68,0.502216450894529,4,0.0,0,0.5,0.5007,Perfil Sospechoso / Amplificador,Caso 4: Red Zombi Durmiente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,350,300,1800,5,1600,1,80,1,0,0,0,User_8a2d763f,1.162790697674419,0.042650590519589,0,0.0,1,0.5,0.1128,Comportamiento Orgánico / Humano,Caso 4: Red Zombi Durmiente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,350,300,1800,5,1600,1,80,1,0,0,0,User_42ab688e,1.162790697674419,0.042650590519589,0,0.0,2,0.5,0.1128,Comportamiento Orgánico / Humano,Caso 4: Red Zombi Durmiente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,350,300,1800,5,1600,1,80,1,0,0,0,User_20a4028c,1.162790697674419,0.042650590519589,0,0.0,3,0.5,0.1128,Comportamiento Orgánico / Humano,Caso 4: Red Zombi Durmiente,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,663,451,1525,6,1710,1,102,1,0,0,0,User_17f8bf8f,1.4668141592920354,0.0326103630468262,1,0.0,0,0.5,0.2348,Comportamiento Orgánico / Humano,Caso 5: Control Orgánico Humano,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,206,415,957,5,1951,1,105,1,0,0,0,User_4feaca9d,0.4951923076923077,0.0705966133758665,2,0.0277777777777777,0,0.5,0.3781,Perfil Sospechoso / Amplificador,Caso 5: Control Orgánico Humano,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,243,379,2623,2,2218,1,105,1,0,0,0,User_914c4c3f,0.6394736842105263,0.0471594885210743,1,0.0,0,0.5,0.2391,Comportamiento Orgánico / Humano,Caso 5: Control Orgánico Humano,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,754,464,427,3,1734,1,66,1,0,0,0,User_66f602c2,1.621505376344086,0.0390749044928213,1,0.0,1,0.5,0.2367,Comportamiento Orgánico / Humano,Caso 5: Control Orgánico Humano,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,770,394,784,3,1247,1,109,1,0,0,0,User_405f7173,1.9493670886075949,0.0357337312072858,1,0.0,1,0.5,0.2357,Comportamiento Orgánico / Humano,Caso 5: Control Orgánico Humano,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,395,594,591,2,2128,1,86,1,0,0,0,User_336e01e4,0.6638655462184874,0.038713072588251,1,0.0,2,0.5,0.2366,Comportamiento Orgánico / Humano,Caso 5: Control Orgánico Humano,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,525,253,2485,3,2261,1,81,1,0,0,0,User_3cae38d5,2.066929133858268,0.0374247356175297,1,0.0,2,0.5,0.2362,Comportamiento Orgánico / Humano,Caso 5: Control Orgánico Humano,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,293,488,2055,7,1604,1,55,1,0,0,0,User_a023fd51,0.5991820040899796,0.0545828899058827,0,0.0,3,0.5,0.1164,Comportamiento Orgánico / Humano,Caso 5: Control Orgánico Humano,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,590,339,1900,3,1971,1,62,1,0,0,0,User_3d198ba6,1.7352941176470589,0.0378248314827573,0,0.0,4,0.5,0.1113,Comportamiento Orgánico / Humano,Caso 5: Control Orgánico Humano,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,702,166,958,5,2149,1,108,1,0,0,0,User_d4e96383,4.203592814371257,0.0523338868482091,0,0.0,5,0.5,0.1157,Comportamiento Orgánico / Humano,Caso 5: Control Orgánico Humano,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
